iter	Passed	Remaining
0	0	66
1	0	60
2	0	56
3	1	56
4	2	83
5	2	76
6	2	70
7	2	66
8	2	63
9	3	61
10	3	61
11	3	59
12	4	57
13	4	56
14	4	55
15	4	55
16	5	53
17	5	53
18	5	52
19	5	51
20	5	51
21	6	50
22	6	49
23	6	49
24	6	48
25	7	48
26	7	47
27	7	47
28	7	47
29	8	46
30	8	46
31	8	45
32	8	45
33	9	45
34	9	44
35	9	44
36	10	44
37	10	43
38	10	43
39	10	42
40	10	42
41	11	42
42	11	42
43	11	41
44	11	41
45	12	40
46	12	40
47	12	40
48	13	40
49	13	39
50	13	39
51	13	39
52	13	38
53	14	38
54	14	38
55	14	37
56	14	37
57	15	37
58	15	36
59	15	36
60	15	36
61	16	35
62	16	35
63	16	35
64	16	34
65	17	34
66	17	34
67	17	34
68	17	33
69	18	33
70	18	33
71	18	32
72	18	32
73	18	32
74	19	31
75	19	31
76	19	31
77	19	31
78	20	30
79	20	30
80	20	30
81	20	30
82	21	30
83	21	29
84	21	29
85	22	29
86	22	29
87	22	28
88	22	28
89	23	28
90	23	27
91	23	27
92	23	27
93	24	27
94	24	27
95	24	26
96	24	26
97	25	26
98	25	25
99	25	25
100	25	25
101	26	25
102	26	24
103	26	24
104	26	24
105	27	24
106	27	23
107	27	23
108	27	23
109	28	23
110	28	22
111	28	22
112	29	22
113	29	22
114	29	21
115	29	21
116	30	21
117	30	21
118	30	20
119	30	20
120	30	20
121	31	19
122	31	19
123	31	19
124	31	19
125	32	18
126	32	18
127	32	18
128	32	18
129	33	17
130	33	17
131	33	17
132	33	17
133	34	16
134	34	16
135	34	16
136	34	16
137	35	15
138	35	15
139	35	15
140	35	14
141	35	14
142	36	14
143	36	14
144	36	13
145	36	13
146	37	13
147	37	13
148	37	12
149	37	12
150	38	12
151	38	12
152	38	11
153	38	11
154	39	11
155	39	11
156	39	10
157	39	10
158	40	10
159	40	10
160	40	9
161	40	9
162	41	9
163	41	9
164	41	8
165	41	8
166	42	8
167	43	8
168	43	7
169	43	7
170	43	7
171	44	7
172	44	6
173	44	6
174	44	6
175	45	6
176	45	5
177	45	5
178	45	5
179	46	5
180	46	4
181	46	4
182	47	4
183	47	4
184	47	3
185	47	3
186	48	3
187	48	3
188	48	2
189	48	2
190	49	2
191	49	2
192	49	1
193	50	1
194	50	1
195	50	1
196	50	0
197	51	0
198	51	0
199	51	0
