time,magnetic,gas_max,gas_min,gas_mean,gas_number,yudamari_number,yudamari_temp,kakouwall_temp,tilt1_NS,tilt1_EW,tilt2_NS,tilt2_EW
2010-01-01,-616.9000000000015,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-02,-616.8000000000029,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-03,-616.7999999999956,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-04,-616.5999999999985,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-05,-616.5,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-06,-616.6999999999971,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-07,-616.7000000000044,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-08,-616.9000000000015,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-09,-616.8000000000029,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-10,-616.9000000000015,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-11,-616.5999999999985,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-12,-616.6999999999971,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-13,-616.5999999999985,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-14,-616.7000000000044,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-15,-616.7000000000044,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-16,-616.6999999999971,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-17,-616.5,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-18,-616.7999999999956,640.0,270.0,460.0,8.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-19,-616.8000000000029,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-20,-616.8000000000029,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-21,-616.5999999999985,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-22,-615.7999999999956,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-23,-616.8000000000029,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-24,-616.8000000000029,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-25,-616.4000000000015,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-26,-616.4000000000015,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-27,-616.8999999999942,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-28,-616.7000000000044,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-29,-616.8000000000029,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-30,-616.8000000000029,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-01-31,-616.7999999999956,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-01,-616.5999999999985,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-02,-616.6999999999971,620.0,200.0,420.0,4.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-03,-616.6000000000058,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-04,-616.5999999999985,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-05,-616.9000000000015,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-06,-616.8000000000029,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-07,-616.8000000000029,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-08,-616.8000000000029,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-09,-617.0,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-10,-616.8000000000029,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-11,-616.7999999999956,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-12,-616.8000000000029,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-13,-616.7999999999956,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-14,-616.8000000000029,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-15,-617.0999999999985,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-16,-616.4000000000015,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-17,-616.9000000000015,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-18,-616.7999999999956,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
