time,consensus
2010-01-31,0.18
2010-02-05,0.18
2010-02-10,0.18
2010-02-15,0.18
2010-02-20,0.18
2010-02-25,0.18
2010-03-02,0.18
2010-03-07,0.18
2010-03-12,0.18
2010-03-17,0.18
2010-03-22,0.18
2010-03-27,0.18
2010-04-01,0.18
2010-04-06,0.18
2010-04-11,0.18
2010-04-16,0.18
2010-04-21,0.18
2010-04-26,0.18
2010-05-01,0.18
2010-05-06,0.18
2010-05-11,0.18
2010-05-16,0.18
2010-05-21,0.18
2010-05-26,0.18
2010-05-31,0.18
2010-06-05,0.18
2010-06-10,0.18
2010-06-15,0.18
2010-06-20,0.18
2010-06-25,0.18
2010-06-30,0.18
2010-07-05,0.2
2010-07-10,0.09
2010-07-15,0.04
2010-07-20,0.06
2010-07-25,0.04
2010-07-30,0.18
2010-08-04,0.09
2010-08-09,0.06
2010-08-14,0.23
2010-08-19,0.18
2010-08-24,0.19
2010-08-29,0.13
2010-09-03,0.09
2010-09-08,0.1
2010-09-13,0.23
2010-09-18,0.15
2010-09-23,0.14
2010-09-28,0.14
2010-10-03,0.14
2010-10-08,0.24
2010-10-13,0.02
2010-10-18,0.23
2010-10-23,0.16
2010-10-28,0.09
2010-11-02,0.09
2010-11-07,0.08
2010-11-12,0.1
2010-11-17,0.16
2010-11-22,0.19
2010-11-27,0.17
2010-12-02,0.03
2010-12-07,0.05
2010-12-12,0.04
2010-12-17,0.01
2010-12-22,0.0
2010-12-27,0.01
2011-01-01,0.06
2011-01-06,0.0
2011-01-11,0.01
2011-01-16,0.01
2011-01-21,0.01
2011-01-26,0.01
2011-01-31,0.01
2011-02-05,0.15
2011-02-10,0.16
2011-02-15,0.19
2011-02-20,0.15
2011-02-25,0.15
2011-03-02,0.11
2011-03-07,0.08
2011-03-12,0.27
2011-03-17,0.24
2011-03-22,0.13
2011-03-27,0.11
2011-04-01,0.17
2011-04-06,0.16
2011-04-11,0.06
2011-04-16,0.05
2011-04-21,0.08
2011-04-26,0.12
2011-05-01,0.11
2011-05-06,0.09
2011-05-11,0.08
2011-05-16,0.1
